SourceFile,FileName,DateTimeOriginal,ExposureTime,ISO,DriveMode,ImageCount
/run/media/mike/disk/DCIM/128_FUJI/_DSF8205.RAF,_DSF8205.RAF,2026:08:01 21:02:56,1/4,320,Continuous High,9439
/run/media/mike/disk/DCIM/128_FUJI/_DSF8206.RAF,_DSF8206.RAF,2026:08:01 21:02:56,1/4,320,Continuous High,9440
/run/media/mike/disk/DCIM/128_FUJI/_DSF8207.RAF,_DSF8207.RAF,2026:08:01 21:02:57,1/4,320,Continuous High,9441
/run/media/mike/disk/DCIM/128_FUJI/_DSF8208.RAF,_DSF8208.RAF,2026:08:01 21:02:57,1/4,320,Continuous High,9442
/run/media/mike/disk/DCIM/128_FUJI/_DSF8209.RAF,_DSF8209.RAF,2026:08:01 21:02:57,1/4,320,Continuous High,9443
/run/media/mike/disk/DCIM/128_FUJI/_DSF8210.RAF,_DSF8210.RAF,2026:08:01 21:02:58,1/4,320,Continuous High,9444
/run/media/mike/disk/DCIM/128_FUJI/_DSF8211.RAF,_DSF8211.RAF,2026:08:01 21:02:58,1/4,320,Continuous High,9445
/run/media/mike/disk/DCIM/128_FUJI/_DSF8212.RAF,_DSF8212.RAF,2026:08:01 21:02:58,1/4,320,Continuous High,9446
/run/media/mike/disk/DCIM/128_FUJI/_DSF8213.RAF,_DSF8213.RAF,2026:08:01 21:09:38,1/4,320,Continuous High,9447
/run/media/mike/disk/DCIM/128_FUJI/_DSF8214.RAF,_DSF8214.RAF,2026:08:01 21:09:40,1/4,320,Continuous High,9448
/run/media/mike/disk/DCIM/128_FUJI/_DSF8215.RAF,_DSF8215.RAF,2026:08:01 21:09:42,1/4,320,Continuous High,9449
/run/media/mike/disk/DCIM/128_FUJI/_DSF8216.RAF,_DSF8216.RAF,2026:08:01 21:09:44,1/4,320,Continuous High,9450
/run/media/mike/disk/DCIM/128_FUJI/_DSF8217.RAF,_DSF8217.RAF,2026:08:01 21:09:47,1/4,320,Continuous High,9451
/run/media/mike/disk/DCIM/128_FUJI/_DSF8218.RAF,_DSF8218.RAF,2026:08:01 21:09:49,1/4,320,Continuous High,9452
/run/media/mike/disk/DCIM/128_FUJI/_DSF8219.RAF,_DSF8219.RAF,2026:08:01 21:09:52,1/4,320,Continuous High,9453
/run/media/mike/disk/DCIM/128_FUJI/_DSF8220.RAF,_DSF8220.RAF,2026:08:01 21:09:54,1/4,320,Continuous High,9454
/run/media/mike/disk/DCIM/128_FUJI/_DSF8221.RAF,_DSF8221.RAF,2026:08:01 21:09:56,1/4,320,Continuous High,9455
/run/media/mike/disk/DCIM/128_FUJI/_DSF8222.RAF,_DSF8222.RAF,2026:08:01 21:09:59,1/4,320,Continuous High,9456
/run/media/mike/disk/DCIM/128_FUJI/_DSF8223.RAF,_DSF8223.RAF,2026:08:01 21:10:01,1/4,320,Continuous High,9457
/run/media/mike/disk/DCIM/128_FUJI/_DSF8224.RAF,_DSF8224.RAF,2026:08:01 21:10:03,1/4,320,Continuous High,9458
/run/media/mike/disk/DCIM/128_FUJI/_DSF8225.RAF,_DSF8225.RAF,2026:08:01 21:10:07,1/4,320,Continuous High,9459
/run/media/mike/disk/DCIM/128_FUJI/_DSF8226.RAF,_DSF8226.RAF,2026:08:01 21:10:07,1/4,320,Continuous High,9460
/run/media/mike/disk/DCIM/128_FUJI/_DSF8227.RAF,_DSF8227.RAF,2026:08:01 21:10:07,1/4,320,Continuous High,9461
/run/media/mike/disk/DCIM/128_FUJI/_DSF8228.RAF,_DSF8228.RAF,2026:08:01 21:10:08,1/4,320,Continuous High,9462
/run/media/mike/disk/DCIM/128_FUJI/_DSF8229.RAF,_DSF8229.RAF,2026:08:01 21:10:08,1/4,320,Continuous High,9463
